,Player,Prediction,Truth
7898,Brad Harman,Not Eligible,Not Eligible
8085,Brad Havens,Not Eligible,Not Eligible
8100,Brad Hawpe,Not Eligible,Not Eligible
8288,Brad Hennessey,Not Eligible,Not Eligible
8700,Brad Hogg,Not Eligible,Not Eligible
8760,Brad Holman,Not Eligible,Not Eligible
9899,Brad Keller,Not Eligible,Not Eligible
10075,Brad Kilby,Not Eligible,Not Eligible
10312,Brad Kocher,Not Eligible,Not Eligible
10346,Brad Komminsk,Not Eligible,Not Eligible
10981,Brad Lesley,Not Eligible,Not Eligible
11044,Brad Lidge,Not Inducted,Not Inducted
11070,Brad Lincoln,Not Eligible,Not Eligible
12937,Brad Miller,Not Eligible,Not Eligible
13038,Brad Mills,Not Eligible,Not Eligible
13037,Brad Mills,Not Eligible,Not Eligible
13247,Brad Moore,Not Eligible,Not Eligible
13810,Brad Nelson,Not Eligible,Not Eligible
14736,Brad Peacock,Not Eligible,Not Eligible
14829,Brad Pennington,Not Eligible,Not Eligible
14834,Brad Penny,Not Inducted,Not Inducted
15564,Brad Radke,Not Inducted,Not Inducted
16050,Brad Rigby,Not Eligible,Not Eligible
16775,Brad Salmon,Not Eligible,Not Eligible
17993,Brad Snyder,Not Eligible,Not Eligible
18181,Brad Springer,Not Eligible,Not Eligible
19038,Brad Thomas,Not Eligible,Not Eligible
19088,Brad Thompson,Not Eligible,Not Eligible
19847,Brad Voyles,Not Eligible,Not Eligible
20274,Brad Wellman,Not Eligible,Not Eligible
20495,Brad Wieck,Not Eligible,Not Eligible
20532,Brad Wilkerson,Not Eligible,Not Eligible
20909,Brad Woodall,Not Eligible,Not Eligible
21220,Brad Ziegler,Not Inducted,Not Inducted
1547,Braden Bishop,Not Eligible,Not Eligible
2160,Braden Bristo,Not Eligible,Not Eligible
11269,Braden Looper,Not Inducted,Not Inducted
17514,Braden Shewmake,Not Eligible,Not Eligible
17538,Braden Shipley,Not Eligible,Not Eligible
7657,Bradin Hagens,Not Eligible,Not Eligible
1612,Bradley Blalock,Not Eligible,Not Eligible
21227,Bradley Zimmer,Not Eligible,Not Eligible
376,Brady Anderson,Not Inducted,Not Inducted
1043,Brady Basso,Not Eligible,Not Eligible
3410,Brady Clark,Not Eligible,Not Eligible
5824,Brady Feigl,Not Eligible,Not Eligible
10572,Brady Lail,Not Eligible,Not Eligible
15577,Brady Raggio,Not Eligible,Not Eligible
16270,Brady Rodgers,Not Eligible,Not Eligible
17670,Brady Singer,Not Eligible,Not Eligible
16544,Braggo Roth,Not Eligible,Not Eligible
11837,Brailyn Marquez,Not Eligible,Not Eligible
16027,Branch Rickey,Not Eligible,Not Eligible
10222,Branden Kline,Not Eligible,Not Eligible
15154,Branden Pinder,Not Eligible,Not Eligible
234,Brandon Allen,Not Eligible,Not Eligible
678,Brandon Backe,Not Eligible,Not Eligible
721,Brandon Bailey,Not Eligible,Not Eligible
852,Brandon Bantz,Not Eligible,Not Eligible
912,Brandon Barnes,Not Eligible,Not Eligible
1124,Brandon Beachy,Not Eligible,Not Eligible
1292,Brandon Belt,Not Eligible,Not Eligible
1369,Brandon Berger,Not Eligible,Not Eligible
1492,Brandon Bielak,Not Eligible,Not Eligible
1724,Brandon Boggs,Not Eligible,Not Eligible
2087,Brandon Brennan,Not Eligible,Not Eligible
3481,Brandon Claussen,Not Eligible,Not Eligible
4039,Brandon Crawford,Not Eligible,Not Eligible
4240,Brandon Cumpton,Not Eligible,Not Eligible
4242,Brandon Cunniff,Not Eligible,Not Eligible
4853,Brandon Dickson,Not Eligible,Not Eligible
4926,Brandon Dixon,Not Eligible,Not Eligible
5165,Brandon Drury,Not Eligible,Not Eligible
5177,Brandon Duckworth,Not Eligible,Not Eligible
5456,Brandon Eisert,Not Eligible,Not Eligible
5727,Brandon Fahey,Not Eligible,Not Eligible
5967,Brandon Finnegan,Not Eligible,Not Eligible
7069,Brandon Gomes,Not Eligible,Not Eligible
7596,Brandon Guyer,Not Eligible,Not Eligible
7904,Brandon Harper,Not Eligible,Not Eligible
8497,Brandon Hicks,Not Eligible,Not Eligible
9002,Brandon Hughes,Not Eligible,Not Eligible
9129,Brandon Hyde,Not Eligible,Not Eligible
9157,Brandon Inge,Not Inducted,Not Inducted
9574,Brandon Jones,Not Eligible,Not Eligible
10155,Brandon Kintzler,Not Eligible,Not Eligible
10265,Brandon Knight,Not Eligible,Not Eligible
10332,Brandon Kolb,Not Eligible,Not Eligible
10573,Brandon Laird,Not Eligible,Not Eligible
10712,Brandon Larson,Not Eligible,Not Eligible
10802,Brandon League,Not Inducted,Not Inducted
10895,Brandon Leibrandt,Not Eligible,Not Eligible
11198,Brandon Lockridge,Not Eligible,Not Eligible
11349,Brandon Lowe,Not Eligible,Not Eligible
11479,Brandon Lyon,Not Inducted,Not Inducted
11742,Brandon Mann,Not Eligible,Not Eligible
11858,Brandon Marsh,Not Eligible,Not Eligible
12113,Brandon Maurer,Not Eligible,Not Eligible
12243,Brandon McCarthy,Not Inducted,Not Inducted
12680,Brandon Medders,Not Eligible,Not Eligible
13423,Brandon Morrow,Not Inducted,Not Inducted
13456,Brandon Moss,Not Inducted,Not Inducted
13959,Brandon Nimmo,Not Eligible,Not Eligible
15018,Brandon Pfaadt,Not Eligible,Not Eligible
15053,Brandon Phillips,Not Inducted,Not Inducted
15446,Brandon Puffer,Not Eligible,Not Eligible
17994,Brandon Snyder,Not Eligible,Not Eligible
19777,Brandon Villafuerte,Not Eligible,Not Eligible
19856,Brandon Waddell,Not Eligible,Not Eligible
20027,Brandon Walter,Not Eligible,Not Eligible
20152,Brandon Watson,Not Eligible,Not Eligible
20193,Brandon Webb,Not Eligible,Not Eligible
20640,Brandon Williamson,Not Eligible,Not Eligible
20885,Brandon Wood,Not Eligible,Not Eligible
20922,Brandon Woodruff,Not Eligible,Not Eligible
20950,Brandon Workman,Not Eligible,Not Eligible
4455,Brandy Davis,Not Eligible,Not Eligible
17693,Brandyn Sittinger,Not Eligible,Not Eligible
347,Brant Alyea,Not Eligible,Not Eligible
2241,Brant Brown,Not Eligible,Not Eligible
9105,Brant Hurter,Not Eligible,Not Eligible
3076,Braulio Castillo,Not Eligible,Not Eligible
6682,Braxton Garrett,Not Eligible,Not Eligible
10835,Braxton Lee,Not Eligible,Not Eligible
1286,Brayan Bello,Not Eligible,Not Eligible
14802,Brayan Peña,Not Inducted,Not Inducted
16254,Brayan Rocchio,Not Eligible,Not Eligible
19786,Brayan Villarreal,Not Eligible,Not Eligible
7818,Brenan Hanifee,Not Eligible,Not Eligible
4997,Brendan Donnelly,Not Eligible,Not Eligible
5013,Brendan Donovan,Not Eligible,Not Eligible
7939,Brendan Harris,Not Eligible,Not Eligible
12507,Brendan McKay,Not Eligible,Not Eligible
16271,Brendan Rodgers,Not Eligible,Not Eligible
16686,Brendan Ryan,Not Inducted,Not Inducted
20403,Brendan White,Not Eligible,Not Eligible
4456,Brendon Davis,Not Eligible,Not Eligible
11138,Brendon Little,Not Eligible,Not Eligible
1400,Brennan Bernardino,Not Eligible,Not Eligible
1718,Brennan Boesch,Not Eligible,Not Eligible
25,Brent Abernathy,Not Eligible,Not Eligible
1522,Brent Billingsley,Not Eligible,Not Eligible
1906,Brent Bowers,Not Eligible,Not Eligible
2075,Brent Brede,Not Eligible,Not Eligible
2628,Brent Butler,Not Eligible,Not Eligible
3518,Brent Clevlen,Not Eligible,Not Eligible
3812,Brent Cookson,Not Eligible,Not Eligible
4933,Brent Dlugach,Not Eligible,Not Eligible
6483,Brent Gaff,Not Eligible,Not Eligible
6719,Brent Gates,Not Eligible,Not Eligible
8136,Brent Headrick,Not Eligible,Not Eligible
8791,Brent Honeywell,Not Eligible,Not Eligible
10249,Brent Knackert,Not Eligible,Not Eligible
10795,Brent Leach,Not Eligible,Not Eligible
11057,Brent Lillibridge,Not Eligible,Not Eligible
12160,Brent Mayne,Not Inducted,Not Inducted
13330,Brent Morel,Not Eligible,Not Eligible
16460,Brent Rooker,Not Eligible,Not Eligible
18544,Brent Strom,Not Eligible,Not Eligible
18686,Brent Suter,Not Eligible,Not Eligible
5089,Brenton Doyle,Not Eligible,Not Eligible
869,Bret Barberie,Not Eligible,Not Eligible
1806,Bret Boone,Not Inducted,Not Inducted
8244,Bret Hemphill,Not Eligible,Not Eligible
15417,Bret Prinz,Not Eligible,Not Eligible
16720,Bret Saberhagen,Not Inducted,Not Inducted
377,Brett Anderson,Not Eligible,Not Eligible
1079,Brett Baty,Not Eligible,Not Eligible
1705,Brett Bochy,Not Eligible,Not Eligible
2629,Brett Butler,Not Inducted,Not Inducted
2801,Brett Campbell,Not Eligible,Not Eligible
2978,Brett Carroll,Not Eligible,Not Eligible
3158,Brett Cecil,Not Inducted,Not Inducted
5444,Brett Eibner,Not Eligible,Not Eligible
6647,Brett Gardner,Not Eligible,Not Eligible
6862,Brett Gideon,Not Eligible,Not Eligible
7303,Brett Graves,Not Eligible,Not Eligible
7940,Brett Harris,Not Eligible,Not Eligible
8106,Brett Hayes,Not Eligible,Not Eligible
8587,Brett Hinchliffe,Not Eligible,Not Eligible
9211,Brett Jackson,Not Eligible,Not Eligible
9414,Brett Jodie,Not Eligible,Not Eligible
9985,Brett Kennedy,Not Eligible,Not Eligible
10771,Brett Lawrie,Not Eligible,Not Eligible
10780,Brett Laxton,Not Eligible,Not Eligible
11862,Brett Marshall,Not Eligible,Not Eligible
11903,Brett Martin,Not Eligible,Not Eligible
12810,Brett Merriman,Not Eligible,Not Eligible
13687,Brett Myers,Not Inducted,Not Inducted
13894,Brett Nicholas,Not Eligible,Not Eligible
14087,Brett Oberholtzer,Not Eligible,Not Eligible
15054,Brett Phillips,Not Eligible,Not Eligible
15144,Brett Pill,Not Eligible,Not Eligible
17678,Brett Sinkbeil,Not Eligible,Not Eligible
18622,Brett Sullivan,Not Eligible,Not Eligible
19248,Brett Tomko,Not Inducted,Not Inducted
19981,Brett Wallace,Not Eligible,Not Eligible
20814,Brett Wisely,Not Eligible,Not Eligible
4548,Brett de Geus,Not Eligible,Not Eligible
8490,Brewer Hicklen,Not Eligible,Not Eligible
19600,Breyvic Valera,Not Eligible,Not Eligible
226,Brian Allard,Not Eligible,Not Eligible
380,Brian Anderson,Not Eligible,Not Eligible
378,Brian Anderson,Not Inducted,Not Inducted
379,Brian Anderson,Not Eligible,Not Eligible
586,Brian Asselstine,Not Eligible,Not Eligible
836,Brian Banks,Not Eligible,Not Eligible
846,Brian Bannister,Not Eligible,Not Eligible
863,Brian Barber,Not Eligible,Not Eligible
877,Brian Barden,Not Eligible,Not Eligible
886,Brian Bark,Not Eligible,Not Eligible
896,Brian Barkley,Not Eligible,Not Eligible
913,Brian Barnes,Not Eligible,Not Eligible
1014,Brian Barton,Not Eligible,Not Eligible
1033,Brian Bass,Not Eligible,Not Eligible
1466,Brian Bevil,Not Eligible,Not Eligible
1562,Brian Bixler,Not Eligible,Not Eligible
1709,Brian Bocock,Not Eligible,Not Eligible
1716,Brian Boehringer,Not Inducted,Not Inducted
1730,Brian Bogusevic,Not Eligible,Not Eligible
1731,Brian Bohanon,Not Inducted,Not Inducted
1916,Brian Bowles,Not Eligible,Not Eligible
2003,Brian Brady,Not Eligible,Not Eligible
2190,Brian Broderick,Not Eligible,Not Eligible
2367,Brian Bruney,Not Eligible,Not Eligible
2395,Brian Buchanan,Not Eligible,Not Eligible
2563,Brian Burres,Not Eligible,Not Eligible
2593,Brian Buscher,Not Eligible,Not Eligible
2648,Brian Butterfield,Not Eligible,Not Eligible
3831,Brian Cooper,Not Eligible,Not Eligible
4333,Brian Dallimore,Not Eligible,Not Eligible
4408,Brian Daubach,Not Eligible,Not Eligible
4541,Brian Dayett,Not Eligible,Not Eligible
4721,Brian Denman,Not Eligible,Not Eligible
4908,Brian Dinkelman,Not Eligible,Not Eligible
5038,Brian Dorsett,Not Eligible,Not Eligible
5080,Brian Downing,Not Inducted,Not Inducted
5090,Brian Doyle,Not Eligible,Not Eligible
5106,Brian Dozier,Not Eligible,Not Eligible
5115,Brian Drahman,Not Eligible,Not Eligible
5170,Brian Dubois,Not Eligible,Not Eligible
5182,Brian Duensing,Not Inducted,Not Inducted
5401,Brian Edmondson,Not Eligible,Not Eligible
5478,Brian Ellington,Not Eligible,Not Eligible
5631,Brian Esposito,Not Eligible,Not Eligible
5746,Brian Falkenborg,Not Eligible,Not Eligible
5992,Brian Fisher,Not Eligible,Not Eligible
6025,Brian Fitzgerald,Not Eligible,Not Eligible
6126,Brian Flynn,Not Eligible,Not Eligible
6421,Brian Fuentes,Not Inducted,Not Inducted
6898,Brian Giles,Not Inducted,Not Inducted
6897,Brian Giles,Not Eligible,Not Eligible
6970,Brian Givens,Not Eligible,Not Eligible
7164,Brian Goodwin,Not Eligible,Not Eligible
7178,Brian Gordon,Not Eligible,Not Eligible
7383,Brian Greer,Not Eligible,Not Eligible
7905,Brian Harper,Not Inducted,Not Inducted
8761,Brian Holman,Not Eligible,Not Eligible
8784,Brian Holton,Not Eligible,Not Eligible
8847,Brian Horwitz,Not Eligible,Not Eligible
9071,Brian Hunter,Not Eligible,Not Eligible
9070,Brian Hunter,Not Inducted,Not Inducted
9443,Brian Johnson,Not Eligible,Not Eligible
9442,Brian Johnson,Not Eligible,Not Eligible
9668,Brian Jordan,Not Inducted,Not Inducted
10053,Brian Keyser,Not Eligible,Not Eligible
10138,Brian Kingman,Not Eligible,Not Eligible
10318,Brian Koelling,Not Eligible,Not Eligible
10397,Brian Kowitz,Not Eligible,Not Eligible
10764,Brian Lawrence,Not Eligible,Not Eligible
10978,Brian Lesher,Not Eligible,Not Eligible
11267,Brian Looney,Not Eligible,Not Eligible
11692,Brian Mallette,Not Eligible,Not Eligible
12099,Brian Matusz,Not Eligible,Not Eligible
12121,Brian Maxcy,Not Eligible,Not Eligible
12226,Brian McCall,Not Eligible,Not Eligible
12233,Brian McCann,Not Inducted,Not Inducted
12624,Brian McNichol,Not Eligible,Not Eligible
12643,Brian McRae,Not Inducted,Not Inducted
12665,Brian Meadows,Not Eligible,Not Eligible
12857,Brian Meyer,Not Eligible,Not Eligible
12938,Brian Miller,Not Eligible,Not Eligible
13052,Brian Milner,Not Eligible,Not Eligible
13134,Brian Moehler,Not Inducted,Not Inducted
13310,Brian Moran,Not Eligible,Not Eligible
13707,Brian Myrow,Not Eligible,Not Eligible
13762,Brian Navarreto,Not Eligible,Not Eligible
14129,Brian O'Connor,Not Eligible,Not Eligible
14173,Brian O'Grady,Not Eligible,Not Eligible
14197,Brian O'Keefe,Not Eligible,Not Eligible
14270,Brian Omogrosso,Not Eligible,Not Eligible
14394,Brian Ostrosser,Not Eligible,Not Eligible
15338,Brian Powell,Not Eligible,Not Eligible
15542,Brian Raabe,Not Eligible,Not Eligible
15854,Brian Reith,Not Eligible,Not Eligible
16166,Brian Roberts,Not Inducted,Not Inducted
16356,Brian Rogers,Not Eligible,Not Eligible
16492,Brian Rose,Not Eligible,Not Eligible
16727,Brian Sackinsky,Not Eligible,Not Eligible
16804,Brian Sanches,Not Eligible,Not Eligible
17072,Brian Schlitter,Not Eligible,Not Eligible
17077,Brian Schmack,Not Eligible,Not Eligible
17107,Brian Schneider,Not Inducted,Not Inducted
17340,Brian Serven,Not Eligible,Not Eligible
17371,Brian Shackelford,Not Eligible,Not Eligible
17573,Brian Shouse,Not Inducted,Not Inducted
17616,Brian Sikorski,Not Eligible,Not Eligible
17634,Brian Simmons,Not Eligible,Not Eligible
17755,Brian Slocum,Not Eligible,Not Eligible
17796,Brian Smith,Not Eligible,Not Eligible
17982,Brian Snitker,Not Eligible,Not Eligible
17995,Brian Snyder,Not Eligible,Not Eligible
18448,Brian Stokes,Not Eligible,Not Eligible
18738,Brian Sweeney,Not Eligible,Not Eligible
18805,Brian Tallet,Not Eligible,Not Eligible
19235,Brian Tollberg,Not Eligible,Not Eligible
19342,Brian Traxler,Not Eligible,Not Eligible
19432,Brian Turang,Not Eligible,Not Eligible
20565,Brian Williams,Not Eligible,Not Eligible
20683,Brian Wilson,Not Eligible,Not Eligible
20859,Brian Wolfe,Not Eligible,Not Eligible
19433,Brice Turang,Not Eligible,Not Eligible
17797,Brick Smith,Not Eligible,Not Eligible
9986,Brickyard Kennedy,Not Inducted,Not Inducted
11312,Bris Lord,Not Eligible,Not Eligible
2535,Britt Burns,Not Eligible,Not Eligible
15734,Britt Reames,Not Eligible,Not Eligible
9575,Broadway Jones,Not Eligible,Not Eligible
2495,Brock Burke,Not Eligible,Not Eligible
4457,Brock Davis,Not Eligible,Not Eligible
8777,Brock Holt,Not Eligible,Not Eligible
14794,Brock Pemberton,Not Eligible,Not Eligible
14977,Brock Peterson,Not Eligible,Not Eligible
18282,Brock Stassi,Not Eligible,Not Eligible
18390,Brock Stewart,Not Eligible,Not Eligible
14918,Broderick Perkins,Not Eligible,Not Eligible
10323,Brody Koerner,Not Eligible,Not Eligible
556,Bronson Arroyo,Not Inducted,Not Inducted
8183,Bronson Heflin,Not Eligible,Not Eligible
16919,Bronson Sardinha,Not Eligible,Not Eligible
14663,Bronswell Patrick,Not Eligible,Not Eligible
6188,Brook Fordyce,Not Inducted,Not Inducted
9264,Brook Jacoby,Not Inducted,Not Inducted
792,Brooks Baldwin,Not Eligible,Not Eligible
2242,Brooks Brown,Not Eligible,Not Eligible
3761,Brooks Conrad,Not Eligible,Not Eligible
10071,Brooks Kieschnick,Not Eligible,Not Eligible
10447,Brooks Kriske,Not Eligible,Not Eligible
10765,Brooks Lawrence,Not Eligible,Not Eligible
10836,Brooks Lee,Not Eligible,Not Eligible
15328,Brooks Pounders,Not Eligible,Not Eligible
15595,Brooks Raley,Not Eligible,Not Eligible
16210,Brooks Robinson,Inducted,Inducted
640,Bruce Aven,Not Eligible,Not Eligible
905,Bruce Barmes,Not Eligible,Not Eligible
1308,Bruce Benedict,Not Inducted,Not Inducted
1359,Bruce Berenyi,Not Eligible,Not Eligible
1518,Bruce Billings,Not Eligible,Not Eligible
1703,Bruce Bochte,Not Inducted,Not Inducted
1706,Bruce Bochy,Not Eligible,Not Eligible
1738,Bruce Boisclair,Not Eligible,Not Eligible
2339,Bruce Brubaker,Not Eligible,Not Eligible
2727,Bruce Caldwell,Not Eligible,Not Eligible
2802,Bruce Campbell,Not Inducted,Not Inducted
3279,Bruce Chen,Not Inducted,Not Inducted
3334,Bruce Christensen,Not Eligible,Not Eligible
3734,Bruce Connatser,Not Eligible,Not Eligible
4247,Bruce Cunningham,Not Eligible,Not Eligible
4319,Bruce Dal Canton,Not Inducted,Not Inducted
5407,Bruce Edwards,Not Inducted,Not Inducted
5438,Bruce Egloff,Not Eligible,Not Eligible
5477,Bruce Ellingsen,Not Eligible,Not Eligible
5920,Bruce Fields,Not Eligible,Not Eligible
8006,Bruce Hartford,Not Eligible,Not Eligible
8618,Bruce Hitt,Not Eligible,Not Eligible
8892,Bruce Howard,Not Eligible,Not Eligible
9096,Bruce Hurst,Not Inducted,Not Inducted
10107,Bruce Kimm,Not Eligible,Not Eligible
10187,Bruce Kison,Not Inducted,Not Inducted
10352,Bruce Konopka,Not Eligible,Not Eligible
11265,Bruce Look,Not Eligible,Not Eligible
12125,Bruce Maxwell,Not Eligible,Not Eligible
12939,Bruce Miller,Not Eligible,Not Eligible
14175,Bruce Ogrodowski,Not Eligible,Not Eligible
16155,Bruce Robbins,Not Eligible,Not Eligible
16211,Bruce Robinson,Not Eligible,Not Eligible
16452,Bruce Rondon,Not Eligible,Not Eligible
16617,Bruce Ruffin,Not Inducted,Not Inducted
17752,Bruce Sloan,Not Eligible,Not Eligible
18694,Bruce Sutter,Inducted,Inducted
18819,Bruce Tanner,Not Eligible,Not Eligible
18883,Bruce Taylor,Not Eligible,Not Eligible
19835,Bruce Von Hoff,Not Eligible,Not Eligible
20040,Bruce Walton,Not Eligible,Not Eligible
21239,Bruce Zimmermann,Not Eligible,Not Eligible
1461,Bruno Betzel,Not Eligible,Not Eligible
1670,Bruno Block,Not Eligible,Not Eligible
7620,Bruno Haas,Not Eligible,Not Eligible
7299,Brusdar Graterol,Not Eligible,Not Eligible
13811,Bry Nelson,Not Eligible,Not Eligible
38,Bryan Abreu,Not Eligible,Not Eligible
381,Bryan Anderson,Not Eligible,Not Eligible
617,Bryan Augenstein,Not Eligible,Not Eligible
749,Bryan Baker,Not Eligible,Not Eligible
2449,Bryan Bullington,Not Eligible,Not Eligible
3411,Bryan Clark,Not Eligible,Not Eligible
3538,Bryan Clutterbuck,Not Eligible,Not Eligible
3882,Bryan Corey,Not Eligible,Not Eligible
4557,Bryan De La Cruz,Not Eligible,Not Eligible
5701,Bryan Eversgerd,Not Eligible,Not Eligible
6589,Bryan Garcia,Not Eligible,Not Eligible
8031,Bryan Harvey,Not Eligible,Not Eligible
8172,Bryan Hebson,Not Eligible,Not Eligible
8484,Bryan Hickerson,Not Eligible,Not Eligible
8656,Bryan Hoeing,Not Eligible,Not Eligible
8708,Bryan Holaday,Not Eligible,Not Eligible
8970,Bryan Hudson,Not Eligible,Not Eligible
9927,Bryan Kelly,Not Eligible,Not Eligible
10114,Bryan King,Not Eligible,Not Eligible
10569,Bryan LaHair,Not Eligible,Not Eligible
10748,Bryan Lavastida,Not Eligible,Not Eligible
11139,Bryan Little,Not Eligible,Not Eligible
13100,Bryan Mitchell,Not Eligible,Not Eligible
13392,Bryan Morris,Not Eligible,Not Eligible
14156,Bryan Oelkers,Not Eligible,Not Eligible
14971,Bryan Petersen,Not Eligible,Not Eligible
15393,Bryan Price,Not Eligible,Not Eligible
15394,Bryan Price,Not Eligible,Not Eligible
15639,Bryan Ramos,Not Eligible,Not Eligible
15858,Bryan Rekar,Not Eligible,Not Eligible
15928,Bryan Reynolds,Not Eligible,Not Eligible
16789,Bryan Sammons,Not Eligible,Not Eligible
17420,Bryan Shaw,Not Eligible,Not Eligible
18349,Bryan Stephens,Not Eligible,Not Eligible
20057,Bryan Ward,Not Eligible,Not Eligible
20880,Bryan Woo,Not Eligible,Not Eligible
2096,Bryce Brentz,Not Eligible,Not Eligible
5462,Bryce Elder,Not Eligible,Not Eligible
6113,Bryce Florie,Not Eligible,Not Eligible
7906,Bryce Harper,Not Eligible,Not Eligible
9316,Bryce Jarvis,Not Eligible,Not Eligible
9444,Bryce Johnson,Not Eligible,Not Eligible
12940,Bryce Miller,Not Eligible,Not Eligible
13213,Bryce Montes de Oca,Not Eligible,Not Eligible
18968,Bryce Teodosio,Not Eligible,Not Eligible
17798,Bryn Smith,Not Inducted,Not Inducted
20684,Bryse Wilson,Not Eligible,Not Eligible
18477,Bryson Stott,Not Eligible,Not Eligible
10499,Bub Kuhn,Not Eligible,Not Eligible
2944,Bubba Carpenter,Not Eligible,Not Eligible
3354,Bubba Church,Not Eligible,Not Eligible
4127,Bubba Crosby,Not Eligible,Not Eligible
6122,Bubba Floyd,Not Eligible,Not Eligible
7941,Bubba Harris,Not Eligible,Not Eligible
13428,Bubba Morton,Not Eligible,Not Eligible
15055,Bubba Phillips,Not Inducted,Not Inducted
18273,Bubba Starling,Not Eligible,Not Eligible
19089,Bubba Thompson,Not Eligible,Not Eligible
19333,Bubba Trammell,Not Eligible,Not Eligible
9665,Bubber Jonnard,Not Eligible,Not Eligible
7885,Bubbles Hargrave,Not Inducted,Not Inducted
16537,Bubby Rossman,Not Eligible,Not Eligible
1165,Buck Becannon,Not Eligible,Not Eligible
3548,Buck Coats,Not Eligible,Not Eligible
4150,Buck Crouse,Not Eligible,Not Eligible
4372,Buck Danner,Not Eligible,Not Eligible
5657,Buck Etchison,Not Eligible,Not Eligible
5704,Buck Ewing,Inducted,Inducted
5773,Buck Farmer,Not Eligible,Not Eligible
5808,Buck Fausett,Not Eligible,Not Eligible
6327,Buck Freeman,Not Eligible,Not Eligible
6328,Buck Freeman,Not Inducted,Not Inducted
6390,Buck Frierson,Not Eligible,Not Eligible
6976,Buck Gladmon,Not Eligible,Not Eligible
8453,Buck Herzog,Not Inducted,Not Inducted
8799,Buck Hooker,Not Eligible,Not Eligible
8816,Buck Hopkins,Not Eligible,Not Eligible
9669,Buck Jordan,Not Inducted,Not Inducted
10951,Buck Leonard,Not Eligible,Not Eligible
11854,Buck Marrow,Not Eligible,Not Eligible
11942,Buck Martinez,Not Inducted,Not Inducted
14096,Buck O'Brien,Not Eligible,Not Eligible
14276,Buck O'Neil,Not Eligible,Not Eligible
15752,Buck Redfern,Not Eligible,Not Eligible
16272,Buck Rodgers,Not Eligible,Not Eligible
16357,Buck Rogers,Not Eligible,Not Eligible
16520,Buck Ross,Not Inducted,Not Inducted
17576,Buck Showalter,Not Eligible,Not Eligible
18250,Buck Stanley,Not Eligible,Not Eligible
18260,Buck Stanton,Not Eligible,Not Eligible
18739,Buck Sweeney,Not Eligible,Not Eligible
19156,Buck Thrasher,Not Eligible,Not Eligible
19663,Buck Varner,Not Eligible,Not Eligible
20116,Buck Washer,Not Eligible,Not Eligible
20175,Buck Weaver,Not Eligible,Not Eligible
20327,Buck West,Not Eligible,Not Eligible
12129,Buckshot May,Not Eligible,Not Eligible
4731,Bucky Dent,Not Inducted,Not Inducted
7583,Bucky Guth,Not Eligible,Not Eligible
7942,Bucky Harris,Not Inducted,Inducted
9250,Bucky Jacobs,Not Eligible,Not Eligible
9259,Bucky Jacobsen,Not Eligible,Not Eligible
19708,Bucky Veil,Not Eligible,Not Eligible
20030,Bucky Walters,Not Inducted,Not Inducted
382,Bud Anderson,Not Eligible,Not Eligible
1567,Bud Black,Not Eligible,Not Eligible
1678,Bud Bloomfield,Not Eligible,Not Eligible
2657,Bud Byerly,Not Inducted,Not Inducted
3397,Bud Clancy,Not Eligible,Not Eligible
3743,Bud Connolly,Not Eligible,Not Eligible
4326,Bud Daley,Not Inducted,Not Inducted
4458,Bud Davis,Not Eligible,Not Eligible
6242,Bud Fowler,Not Eligible,Not Eligible
7647,Bud Hafey,Not Eligible,Not Eligible
7867,Bud Hardin,Not Eligible,Not Eligible
7923,Bud Harrelson,Not Inducted,Not Inducted
8201,Bud Heine,Not Eligible,Not Eligible
12840,Bud Metheny,Not Eligible,Not Eligible
13424,Bud Morse,Not Eligible,Not Eligible
14019,Bud Norris,Not Inducted,Not Inducted
15226,Bud Podbielan,Not Eligible,Not Eligible
17302,Bud Selig,Not Eligible,Not Eligible
17406,Bud Sharpe,Not Eligible,Not Eligible
17457,Bud Sheely,Not Eligible,Not Eligible
17799,Bud Smith,Not Eligible,Not Eligible
18087,Bud Souchock,Not Eligible,Not Eligible
18391,Bud Stewart,Not Eligible,Not Eligible
18729,Bud Swartz,Not Eligible,Not Eligible
18931,Bud Teachout,Not Eligible,Not Eligible
19039,Bud Thomas,Not Eligible,Not Eligible
19040,Bud Thomas,Not Eligible,Not Eligible
19200,Bud Tinning,Not Eligible,Not Eligible
20248,Bud Weiser,Not Eligible,Not Eligible
21248,Bud Zipfel,Not Eligible,Not Eligible
1088,Buddy Baumann,Not Eligible,Not Eligible
1247,Buddy Bell,Inducted,Not Inducted
1473,Buddy Biancalana,Not Eligible,Not Eligible
1568,Buddy Black,Not Inducted,Not Inducted
1598,Buddy Blair,Not Eligible,Not Eligible
1647,Buddy Blattner,Not Eligible,Not Eligible
1798,Buddy Booker,Not Eligible,Not Eligible
1849,Buddy Boshers,Not Eligible,Not Eligible
1969,Buddy Bradford,Not Inducted,Not Inducted
2930,Buddy Carlyle,Not Eligible,Not Eligible
4175,Buddy Crump,Not Eligible,Not Eligible
4604,Buddy Dear,Not Eligible,Not Eligible
6879,Buddy Gilbert,Not Eligible,Not Eligible
7404,Buddy Gremp,Not Eligible,Not Eligible
7472,Buddy Groom,Not Inducted,Not Inducted
7794,Buddy Hancken,Not Eligible,Not Eligible
7943,Buddy Harris,Not Eligible,Not Eligible
8049,Buddy Hassett,Not Eligible,Not Eligible
